                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.92854,                 5.4524,                 1.0973,                0.00099,                0.21875,                0.07913,                 0.0554,                0.81511,                 4.3766,                0.89087,                0.00015,                0.00015,                0.00015
                      2,                0.89183,                 4.4382,                0.98686,                0.00075,                0.21875,                0.10223,                0.08876,                0.68733,                 4.1822,                0.86285,             0.00031173,             0.00031173,             0.00031173
                      3,                 0.8765,                 4.0522,                0.91918,                0.00084,                0.21875,                0.10989,                0.09233,                 0.8748,                 4.1083,                0.89217,             0.00047265,             0.00047265,             0.00047265
                      4,                0.93296,                 3.2321,                0.96709,                0.00085,                0.21875,                0.09375,                 0.0861,                0.80204,                 3.9818,                0.87318,             0.00063277,             0.00063277,             0.00063277
                      5,                 0.9767,                 3.0687,                 1.0274,                   0.75,                0.05507,                0.15473,                0.12573,                0.84679,                 3.7969,                0.94327,             0.00079208,             0.00079208,             0.00079208
                      6,                 1.0629,                 2.9983,                 1.0364,                0.34412,                0.14217,                0.23096,                0.15053,                0.95924,                 3.4263,                0.96325,             0.00095059,             0.00095059,             0.00095059
                      7,                 0.8811,                   2.67,                0.99471,                 0.6051,                0.14164,                0.42512,                0.28731,                0.84143,                 5.6641,                0.93633,              0.0011083,              0.0011083,              0.0011083
                      8,                0.97123,                 2.7968,                 1.0062,                0.53524,                0.54167,                0.53823,                0.35979,                0.99694,                 2.8258,                0.96218,              0.0012283,              0.0012283,              0.0012283
                      9,                 0.9465,                 2.6324,                  1.031,                0.51606,                0.65625,                0.61598,                0.43317,                0.88095,                 3.5747,                 0.9894,              0.0012252,              0.0012252,              0.0012252
                     10,                0.92981,                 2.5163,                0.99381,                0.48892,                0.70833,                0.48426,                0.28048,                 1.1041,                 4.7228,                 1.1184,              0.0012222,              0.0012222,              0.0012222
                     11,                 1.0295,                 2.4943,                 1.0704,                0.46515,                0.65702,                0.44646,                0.29328,                 1.2022,                 6.0986,                 1.2007,              0.0012191,              0.0012191,              0.0012191
                     12,                 1.0063,                 2.1418,                 1.0339,                0.52225,                0.72305,                0.49615,                0.33866,                 0.9002,                 3.3638,                0.96049,               0.001216,               0.001216,               0.001216
                     13,                 0.9362,                 1.8919,                0.99104,                0.66938,                0.67444,                0.64611,                0.42728,                 1.0625,                 2.8077,                0.97863,              0.0012129,              0.0012129,              0.0012129
                     14,                 1.0159,                 2.0888,                 1.0017,                0.59201,                0.69816,                0.61688,                0.40527,                 0.9272,                 2.1766,                0.98226,              0.0012098,              0.0012098,              0.0012098
                     15,                0.86072,                 1.6665,                 1.0161,                0.47438,                0.67532,                0.65088,                0.42717,                0.99386,                 3.4185,                 1.0271,              0.0012067,              0.0012067,              0.0012067
                     16,                0.85793,                 1.6258,                0.98834,                0.69118,                0.76419,                0.76308,                0.51881,                0.81838,                 2.8734,                0.94532,              0.0012036,              0.0012036,              0.0012036
                     17,                0.86674,                 1.4856,                0.98099,                0.77677,                0.78709,                0.75088,                0.49291,                0.99781,                 2.7819,                 1.0091,              0.0012005,              0.0012005,              0.0012005
                     18,                0.86532,                 1.7018,                0.98229,                0.85953,                 0.8236,                0.81947,                0.54278,                0.80145,                 1.5902,                0.95054,              0.0011974,              0.0011974,              0.0011974
                     19,                0.82311,                 1.4219,                0.93853,                0.92818,                0.81624,                0.86223,                0.56236,                0.80619,                 1.3864,                0.90394,              0.0011943,              0.0011943,              0.0011943
                     20,                0.87681,                 1.4423,                 0.9763,                0.90268,                0.71792,                0.84867,                0.52683,                0.82078,                 1.8682,                0.91747,              0.0011912,              0.0011912,              0.0011912
                     21,                0.83561,                 1.2442,                 0.9206,                0.86252,                  0.875,                0.83105,                0.52284,                0.75566,                 1.7577,                0.89885,              0.0011881,              0.0011881,              0.0011881
                     22,                0.79218,                 1.2135,                0.93877,                0.87762,                0.70458,                 0.7632,                0.51538,                0.80745,                 1.6095,                0.91102,               0.001185,               0.001185,               0.001185
                     23,                0.84012,                 1.1421,                0.96226,                0.78305,                   0.75,                0.73333,                0.53434,                0.73674,                 1.3526,                0.90897,              0.0011819,              0.0011819,              0.0011819
                     24,                0.80668,                 1.0826,                0.91767,                 0.9345,                 0.8622,                  0.867,                 0.5688,                0.80381,                 1.0855,                0.91861,              0.0011788,              0.0011788,              0.0011788
                     25,                 0.7473,                  1.054,                0.93152,                0.90103,                0.85429,                0.86391,                0.61475,                0.79643,                 1.2216,                 0.9391,              0.0011757,              0.0011757,              0.0011757
                     26,                0.75252,                 1.0943,                0.92036,                0.90313,                0.85158,                0.87098,                 0.6172,                0.77376,                 1.1816,                0.92744,              0.0011727,              0.0011727,              0.0011727
                     27,                0.74618,                  0.994,                0.92286,                0.84083,                0.82834,                0.87207,                0.61957,                0.72506,                 1.5961,                0.95154,              0.0011696,              0.0011696,              0.0011696
                     28,                0.74016,                 1.0176,                0.92674,                0.90933,                0.68044,                0.79526,                  0.639,                0.66521,                 1.5425,                 0.9548,              0.0011665,              0.0011665,              0.0011665
                     29,                0.75668,                0.97277,                0.96889,                0.86127,                0.86596,                0.85651,                0.59797,                0.72202,                 1.3221,                0.93952,              0.0011634,              0.0011634,              0.0011634
                     30,                0.70342,                0.86887,                0.90864,                0.91873,                0.77638,                0.87035,                0.59683,                0.76366,                  1.615,                0.93945,              0.0011603,              0.0011603,              0.0011603
                     31,                0.77717,                0.85986,                0.90878,                0.88876,                0.86588,                0.86707,                0.60008,                0.70489,                 1.3103,                0.90223,              0.0011572,              0.0011572,              0.0011572
                     32,                0.75675,                0.86198,                0.91822,                0.89391,                0.86383,                0.87058,                0.59882,                0.76371,                  1.217,                 0.9004,              0.0011541,              0.0011541,              0.0011541
                     33,                0.76497,                0.82268,                0.93778,                0.83702,                0.87323,                0.85401,                 0.5934,                0.65844,                 1.2802,                0.89709,               0.001151,               0.001151,               0.001151
                     34,                0.73997,                0.79527,                 0.9005,                0.91989,                0.81863,                0.82895,                0.57662,                 0.6627,                 1.2385,                0.87279,              0.0011479,              0.0011479,              0.0011479
                     35,                 0.6981,                0.76257,                0.87317,                0.84118,                0.86442,                0.81085,                0.59448,                0.69537,                 1.2801,                0.87154,              0.0011448,              0.0011448,              0.0011448
                     36,                0.69325,                0.80539,                0.88791,                0.88187,                0.86837,                0.84208,                0.58435,                0.65723,                 1.3599,                0.87929,              0.0011417,              0.0011417,              0.0011417
                     37,                0.68537,                0.81307,                0.90711,                0.88836,                  0.875,                0.83631,                0.57623,                  0.667,                 1.4744,                 0.8767,              0.0011386,              0.0011386,              0.0011386
                     38,                0.75967,                0.76843,                0.93488,                0.85189,                0.87386,                0.83084,                0.54479,                0.74715,                 1.4523,                0.90439,              0.0011355,              0.0011355,              0.0011355
                     39,                0.71423,                 0.7453,                0.92605,                0.89064,                0.86954,                0.84252,                0.58987,                0.67495,                  1.275,                0.89763,              0.0011324,              0.0011324,              0.0011324
                     40,                0.71469,                0.74082,                0.92454,                0.89037,                  0.875,                0.83683,                0.62982,                0.65932,                 1.3822,                0.89733,              0.0011293,              0.0011293,              0.0011293
                     41,                0.69829,                0.68114,                0.89035,                0.88437,                  0.875,                0.81036,                0.60099,                0.75011,                 1.5671,                0.89961,              0.0011263,              0.0011263,              0.0011263
                     42,                0.68951,                 0.7214,                0.91886,                0.86128,                0.86861,                 0.8719,                0.67227,                0.62559,                 1.3509,                 0.8927,              0.0011232,              0.0011232,              0.0011232
                     43,                0.72303,                0.75815,                0.90486,                 0.9211,                 0.8611,                0.87216,                0.62082,                0.71682,                 1.2575,                0.89971,              0.0011201,              0.0011201,              0.0011201
                     44,                0.67144,                0.65615,                0.89792,                0.83932,                0.86579,                0.87105,                  0.616,                0.65412,                 1.2691,                0.88367,               0.001117,               0.001117,               0.001117
                     45,                0.66902,                0.66044,                0.90618,                 0.7851,                 0.8575,                0.86053,                0.62416,                0.66986,                 1.2132,                0.89151,              0.0011139,              0.0011139,              0.0011139
                     46,                 0.7515,                 0.6713,                 0.9204,                0.86835,                0.86813,                0.85312,                0.62974,                0.62431,                 1.3063,                0.87948,              0.0011108,              0.0011108,              0.0011108
                     47,                0.67244,                0.62575,                0.88161,                0.88582,                  0.875,                0.85372,                0.62546,                0.67961,                 1.3619,                0.88167,              0.0011077,              0.0011077,              0.0011077
                     48,                0.67917,                0.66149,                0.88911,                0.85571,                  0.875,                0.86839,                0.60412,                0.74345,                 1.3287,                0.90799,              0.0011046,              0.0011046,              0.0011046
                     49,                0.71008,                0.62134,                0.89929,                0.86383,                0.86465,                0.86163,                0.61112,                0.69457,                 1.3435,                0.89142,              0.0011015,              0.0011015,              0.0011015
                     50,                0.64791,                0.62389,                0.88029,                0.91363,                0.86124,                0.85632,                0.61403,                0.69964,                 1.3663,                0.87592,              0.0010984,              0.0010984,              0.0010984
                     51,                0.69101,                 0.5958,                0.90334,                0.79492,                0.85443,                0.80126,                0.58483,                0.73122,                 1.2779,                0.87663,              0.0010953,              0.0010953,              0.0010953
                     52,                0.66736,                0.58481,                0.91812,                0.92292,                0.87459,                0.83208,                0.63971,                0.78686,                  1.275,                0.93932,              0.0010922,              0.0010922,              0.0010922
                     53,                0.66543,                0.59587,                0.88616,                0.91437,                0.86863,                0.85416,                0.61045,                0.80719,                  1.324,                0.93881,              0.0010891,              0.0010891,              0.0010891
                     54,                0.64306,                 0.5615,                0.90065,                0.91414,                 0.8677,                0.87152,                0.58526,                0.76021,                 1.2655,                0.94411,               0.001086,               0.001086,               0.001086
                     55,                0.66655,                0.59435,                0.90059,                0.92042,                 0.8649,                0.87134,                0.59835,                0.86251,                 1.2132,                0.93173,              0.0010829,              0.0010829,              0.0010829
